,toxin_id,cas_number
812,T3D0987,"1079-33-0"
813,T3D0988,"2212-67-1"
814,T3D0989,"29672-19-3"
815,T3D0990,"3279-46-7"
816,T3D0991,"3566-09-4"
817,T3D0992,"23135-22-0"
818,T3D0993,"1114-71-2"
819,T3D0994,"13684-63-4"
820,T3D0995,"23103-98-2"
821,T3D0996,"14089-43-1"
822,T3D0998,"34264-24-9"
823,T3D0999,"2631-37-0"
824,T3D1000,"25606-41-1"
825,T3D1001,"24579-73-5"
826,T3D1002,"122-42-9"
827,T3D1003,"114-26-1"
828,T3D1004,"2828-42-4"
829,T3D1005,"87-47-8"
830,T3D1006,"95-06-7"
831,T3D1007,"114654-31-8"
